"v_products_model";"v_status";"v_products_name_3";"v_categories_image_1";"v_categories_name_1_3";"v_categories_image_2";"v_categories_name_2_3";"EOREOR"
"17057";"Active";"INTIMATE TAMPON PRACTICO PARA MUJERES";;"VARIOS";"categorias/varios/categoria_tampones.jpg";"TAMPONES";"EOREOR"
"17677";"Active";"GYNOTEX TAMPONES (6 Unid)";;"VARIOS";"categorias/varios/categoria_tampones.jpg";"TAMPONES";"EOREOR"
"17687";"Active";"SEXMAX HOT LADY TAMPONES (8 Unid)";;"VARIOS";"categorias/varios/categoria_tampones.jpg";"TAMPONES";"EOREOR"
"17460";"Active";"TAMPONES SIN CUERDA (2 Unid)";;"VARIOS";"categorias/varios/categoria_tampones.jpg";"TAMPONES";"EOREOR"
