"v_products_model";"v_status";"v_products_name_3";"v_products_description_3";"v_products_image";"v_products_price";"v_products_quantity";"v_products_weight";"v_categories_image_1";"v_categories_name_1_3";"v_categories_image_2";"v_categories_name_2_3";"v_manufacturers_name";"v_tax_class_title";"EOREOR"
17665;"Active";"MIA ISABELLA MU&Ntilde;ECA HINCHABLE TRANSEXUAL DE LUJO";"<p>
	Esta mu&ntilde;eca es m&aacute;s que una mujer y es que tiene lo mejor de los dos sexos, seguro que siempre has querido saber lo que es tener sexo ardiente con una caliente transexual como esta.<br />
	<br />
	Aprieta sus grandes y redondas tetas, m&eacute;tela en su apretado culo y deja que te devuelva el favor, pero &iexcl;tr&aacute;tala como a una dama!. Tira de su pelo, vu&eacute;lvela loca, ch&uacute;pale los dedos de los pies y d&eacute;jala envolver tu duro pene con sus fabulosas manos.<br />
	<br />
	Es todo tuyo para que disfrutes cada cent&iacute;metro de su cuerpo.<br />
	<br />
	- Pene de fanta-flesh,material real&iacute;sticos exclusivo.<br />
	- Pelo real&iacute;stico.<br />
	- Cara moldeada en 3d y con pesta&ntilde;as.<br />
	- Brazos con movilidad.<br />
	- Grandes pechos voluptuosos modelados con pezones puntiagudos.<br />
	- Orificio anal suave y apretado de fanta-flesh,material real&iacute;stico exclusivo.<br />
	- U&ntilde;as de pies y manos pintadas.</p>
";"products/MIA_ISABELLA_MUNECA_HINCHABLE_TRANSEXUAL_DE_LUJO.jpg";"227.35";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_munecos.jpg";"MU&Ntilde;ECOS";"PIPEDREAM";"IVA (Normal)";"EOREOR"
17679;"Active";"BET ON BLACK VIBRADOR SILICONA  NEGRO";"<p>
	Si usted est&aacute; buscando alg&uacute;n tipo de acci&oacute;n, entonces en la colecci&oacute;n Roulette Silicone, probablemente encontrar&aacute; el favorito para lograr su satisfacci&oacute;n completa.<br />
	<br />
	Con sus elegantes dise&ntilde;os europeos y la composici&oacute;n de silicona, esta colecci&oacute;n es impermeable, inodoro y libre de phalatos y de l&aacute;tex.<br />
	<br />
	Muy f&aacute;cil de utilizar gracias a su rueda inferior, que controla la regulaci&oacute;n de la intensidad progresivamente.<br />
	<br />
	- Rueda controladora de multivelocidad.<br />
	- Potente motor.<br />
	- Resistente al agua.<br />
	- Fabricado de silicona segura.<br />
	- Libre de phalatos y l&aacute;tex.<br />
	- Inodoro.<br />
	- Dise&ntilde;o sin costuras que se ajusta a los contornos del cuerpo.<br />
	- Intensidad m&aacute;xima con m&iacute;nimo ruido.<br />
	- Fabricado todo en Europa.<br />
	<br />
	Funciona con 2 pilas R6/AA que puedes encontrar en la secci&oacute;n Pilas.<br />
	<br />
	Medidas: 20 cm x 4 cm.</p>
";"products/BET_ON_BLACK_VIBRADOR_SILICONA_NEGRO.jpg";"87.45";5;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores.jpg";"VIBRADORES";"EVOLVED";"IVA (Normal)";"EOREOR"
17655;"Active";"G4 VIBES BIG BOSS VIBRADOR NEGRO RECARGABLE";"<p>
	&iexcl;Su nombre lo dice todo!. La estatura impresionante de este juguete entusiasma a todas las amantes del placer XL.<br />
	<br />
	Con una presencia abrumadora y una forma naturalista este vibrador toma r&aacute;pidamente el mando en cuesti&oacute;n de placer.<br />
	<br />
	Las conocedoras van a apreciar de forma especial el Big Boss (Jefe supremo) porque sus vibraciones intensas y su potente glande procuran una excitante estimulaci&oacute;n.<br />
	<br />
	El Big Boss convence gracias a los nuevos mandos G4 por su manejo ergon&oacute;mico y la t&eacute;cnica de recarga innovadora CLICK N CHARGE.<br />
	<br />
	Vibrador recargable CLICK N CHARGE: &iexcl;No se olvide del cargador correspondiente FUN Magnetic Plug!.<br />
	<br />
	Caracter&iacute;sticas especiales:<br />
	- 100% impermeable.<br />
	- Recargable con el FUN Magnetic Plug.<br />
	- Mando luminoso LOOP con funci&oacute;n MagicTouch.<br />
	- Mandos de f&aacute;cil manejo.<br />
	- Bot&oacute;n BOOSTER que permite una elecci&oacute;n directa de los programas.<br />
	- Cont&iacute;nua intensidad de vibraci&oacute;n regulable.<br />
	- 3 programas de vibraci&oacute;n.<br />
	- Motor potente, silencioso y duradero.<br />
	- Cuerpo vibratorio de silicona al 100%.<br />
	- Forma naturalista en formato XL.<br />
	<br />
	Medida: 22,8 cm.<br />
	Di&aacute;metro: 4,4 cm.</p>
";"products/G4_VIBES_BIG_BOSS_VIBRADOR_NEGRO_RECARGABLE.jpg";"84.00";3;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores_hi_tech.jpg";"VIBRADORES HI-TECH";"FUN FACTORY";"IVA (Normal)";"EOREOR"
17654;"Active";"G4 VIBES CALLA VIBRADOR ROSA PASTEL RECARGABLE";"<p>
	Este vibrador es sensual y elegante como la flor de cala misma. Su forma caracter&iacute;stica e inolvidable convencer&aacute; a todos los amantes de lo especial.<br />
	<br />
	Este juguete embruja por su belleza y funcionalidad. Una estimulaci&oacute;n excitante est&aacute; garantizada, su punta afilada encuentra el punto de placer individual.<br />
	<br />
	El c&aacute;liz de la flor produce intensas sensaciones de placer en el cl&iacute;toris o en el ano y ofrece la seguridad necesaria para el uso anal.<br />
	<br />
	Gracias a los nuevos mandos G4 la CALA convence por su manejo ergon&oacute;mico y la t&eacute;cnica de recarga innovadora CLICK N CHARGE.<br />
	<br />
	Vibrador recargable CLICK N CHARGE: &iexcl;No se olvide del cargador correspondiente FUN Magnetic Plug!.<br />
	<br />
	Caracter&iacute;sticas especiales:<br />
	- 100% impermeable.<br />
	- recargable.<br />
	- Mando luminoso LOOP con funci&oacute;n MagicTouch.<br />
	- Mandos de f&aacute;cil manejo.<br />
	- Bot&oacute;n BOOSTER que permite una elecci&oacute;n directa de los programas.<br />
	- Cont&iacute;nua intensidad de vibraci&oacute;n regulable.<br />
	- 3 programas de vibraci&oacute;n.<br />
	- Motor potente, silencioso y duradero.<br />
	- Cuerpo vibratorio de silicona al 100%.<br />
	- Forma naturalista en formato XL.<br />
	- El c&aacute;liz impide la penetraci&oacute;n completa por eso el vibrador es adecuado para uso anal.<br />
	<br />
	Medida: 18,8 cm.<br />
	Di&aacute;metro: 4 cm.</p>
";"products/G4_VIBES_CALLA_VIBRADOR_ROSA_PASTEL_RECARGABLE.jpg";"84.00";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores_hi_tech.jpg";"VIBRADORES HI-TECH";"FUN FACTORY";"IVA (Normal)";"EOREOR"
17657;"Active";"G4 VIBES ELEGANCE VIBRADOR VERDE CLARO RECARGABLE";"<p>
	Este vibrador es elegante, con estilo y est&eacute;tico al mismo tiempo.<br />
	<br />
	Purista y floral en su dise&ntilde;o ELEGANCE invita al experimento. Gracias a su nueva punta c&oacute;nica este juguete busca de forma certera su camino y acaricia con vibraciones intensas el &#39;Hot Spots&#39; del placer.<br />
	<br />
	Este elegante acompa&ntilde;ante, con los mandos G4 es completo y entusiasma por su manejo ergon&oacute;mico, el BOOSTER y la t&eacute;cnica de recarga innovadora CLICK N CHARGE.<br />
	<br />
	ELEGANCE tiene un nivel de estilo especial y abre el apetito.<br />
	<br />
	Vibrador recargable CLICK N CHARGE: &iexcl;No se olvide del cargador correspondiente FUN Magnetic Plug!.<br />
	<br />
	Caracter&iacute;sticas especiales:<br />
	- 100% impermeable.<br />
	- Recargable.<br />
	- Mando luminoso LOOP con funci&oacute;n MagicTouch.<br />
	- Mandos de f&aacute;cil manejo.<br />
	- Bot&oacute;n BOOSTER que permite una elecci&oacute;n directa de los programas.<br />
	- Cont&iacute;nua intensidad de vibraci&oacute;n regulable.<br />
	- 3 programas de vibraci&oacute;n.<br />
	- Motor potente, silencioso y duradero.<br />
	- Cuerpo vibratorio de silicona al 100%.<br />
	<br />
	Medida: 21,5 cm.<br />
	Di&aacute;metro: 4,4 cm.</p>
";"products/G4_VIBES_ELEGANCE_VIBRADOR_VERDE_CLARO_RECARGABLE.jpg";"84.00";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores_hi_tech.jpg";"VIBRADORES HI-TECH";"FUN FACTORY";"IVA (Normal)";"EOREOR"
17659;"Active";"G4 VIBES PATCHY PAUL VIBRADOR ROSA RECARGABLE";"<p>
	Este simp&aacute;tico Don Juan es un aut&eacute;ntico cl&aacute;sico. Con su afilada naricita Patchy Paul excita y estimula intensamente el Punto G.<br />
	<br />
	Su cuerpo procura, gracias a sus anillos, sensaciones muy excitantes a la hora de la penetraci&oacute;n. Patchy Paul es un aut&eacute;ntico conocedor de mujeres con mucho encanto y un potente motor que no deja ning&uacute;n deseo sin cumplir.<br />
	<br />
	Gracias a los nuevos mandos G4 convence por su especial y ergon&oacute;mico manejo, el placer extra gracias al BOOSTER y la t&eacute;cnica de carga innovadora CLICK &#39;N&#39; CHARGE.<br />
	<br />
	Vibrador recargable CLICK N CHARGE: &iexcl;No se olvide del cargador correspondiente FUN Magnetic Plug!.<br />
	<br />
	Caracter&iacute;sticas especiales:<br />
	- 100% impermeable.<br />
	- Recargable.<br />
	- Mandos luminosos LOOP con funci&oacute;n Magic Touch.<br />
	- Mandos de uso f&aacute;cil.<br />
	- Bot&oacute;n BOOSTER que permite una elecci&oacute;n directa de los programas.<br />
	- Continua intensidad de vibraci&oacute;n regulable.<br />
	- 3 programas de vibraci&oacute;n.<br />
	- Motor potente, silencioso y duradero.<br />
	- Cuerpo vibratorio de silicona al 100%.<br />
	<br />
	Medida: 22 cm.<br />
	Di&aacute;metro: 4,1 cm.</p>
";"products/G4_VIBES_PATCHY_PAUL_VIBRADOR_ROSA_RECARGABLE.jpg";"84.00";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores_hi_tech.jpg";"VIBRADORES HI-TECH";"FUN FACTORY";"IVA (Normal)";"EOREOR"
17651;"Active";"NIVANA VIBRADOR PURPURA";"<p>
	Vibe Therapy a creado esta nueva generaci&oacute;n de vibradores pensando en la mujer moderna, teniendo&nbsp; muy en cuenta el dise&ntilde;o y la calidad para proporcionar una experiencia completa y muy placentera. Experimenta la diferencia con este fant&aacute;stico producto<br />
	<br />
	El Nivana vibrador terap&eacute;utico esta dise&ntilde;ado para incrementar su intensidad adapt&aacute;ndose a tus estados de &aacute;nimo, fabricado al 100% en silicona m&eacute;dica y ergon&oacute;micamente dise&ntilde;ado para adaptarse a la perfecci&oacute;n a tu cuerpo y a tu mano, este vibrador te proporcionara una experiencia &uacute;nica.<br />
	<br />
	- Totalmente resistente al agua.<br />
	- Potente vibraci&oacute;n silenciosa.<br />
	- 7 programas que controlan la intensidad de la vibraci&oacute;n.<br />
	- Dise&ntilde;o muy imaginativo y ergon&oacute;mico.<br />
	- Silicona m&eacute;dica higi&eacute;nicamente superior.<br />
	- Botones t&aacute;ctiles para facilitar el uso.<br />
	<br />
	<br />
	Medidas: 20 cm x 3,5 cm.<br />
	<br />
	Funciona con 2 pilas R6/AA que puedes encontrar en la secci&oacute;n Pilas.</p>
";"products/NIVANA_VIBRADOR_PURPURA.jpg";"76.25";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores_hi_tech.jpg";"VIBRADORES HI-TECH";"VIBE THERAPY";"IVA (Normal)";"EOREOR"
17468;"Active";"KT DE VIBRADORES Y HUEVO INALAMBRICO";"<p>
	Complet&iacute;simo kit de vibradores de alta tecnolog&iacute;a, con gran variedad de elecci&oacute;n, gracias a sus 3 diferentes juguetes, con los que podr&aacute;s probar un sinf&iacute;n de nuevas y placenteras experiencias.<br />
	<br />
	Este fabuloso kit incluye:<br />
	<br />
	Vibrador Diamont red impermeable con revestimiento de terciopelo ultrasuave y decoraci&oacute;n moderna de pedrer&iacute;a, especialmente dise&ntilde;ado para estimular el punto G, de 20cm.<br />
	<br />
	Vibrador Diamont red impermeable con revestimiento de terciopelo ultrasuave y decoraci&oacute;n moderna de pedrer&iacute;a, de 15 cm.<br />
	<br />
	Huevo vibrador inal&aacute;mbrico Diamont red y bonito mando a distancia decorado con detalles de pedrer&iacute;a.<br />
	<br />
	Todo lo que necesitas para una perfecta combinaci&oacute;n de placeres.<br />
	<br />
	Funciona con 2 pilas LR6/AA + 2 LR03/AAA&nbsp; (no incluidas) que puedes encontrar en la secci&oacute;n Pilas y 1 12V LR23A tama&ntilde;o 2N (incluidas).<br />
	<br />
	Este kit es perfecto para reglar en una ocasi&oacute;n especial.</p>
";"products/KT_DE_VIBRADORES_Y_HUEVO_INALAMBRICO.jpg";"62.25";7;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_vibradores_kits.jpg";"VIBRADORES KITS";"TOY JOY";"IVA (Normal)";"EOREOR"
